127.0.0.1 - - [03/Jul/2023:19:01:47 -0300] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:01:50 -0300] "GET /proyfinal/controller/addUsuario.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:01:50 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:01:51 -0300] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:01:56 -0300] "GET /proyfinal/view/altaUsuario.jsp HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:01:56 -0300] "GET /proyfinal/view/js/registro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:02:50 -0300] "POST /proyfinal/controller/addUsuario.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:02:50 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:37 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:45 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:45 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:45 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:45 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:46 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:49 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:49 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:50 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:05:52 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:06:11 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:06:12 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [03/Jul/2023:19:06:14 -0300] "GET /proyfinal/view/inicio.jsp?mensaje=usuario%20agregado%20correctamente HTTP/1.1" 200 2349
